"Year","iso3c","Countries","World Bank Region","World Bank Current Income Classification, 1990-Present","ECONOMIC FREEDOM ALL AREAS","area1","area2","area3","area4","area5"
2023,"HKG","Hong Kong SAR, China","East Asia & Pacific","High Income",8.55,7.49058318640808,7.59724650553427,9.53184609592933,9.66121348142498,8.48999379197442
2023,"SGP","Singapore","East Asia & Pacific","High Income",8.5,7.54442153559261,8.58066253627183,8.59466784907774,9.5601309766698,8.20394234805942
2023,"NZL","New Zealand","East Asia & Pacific","High Income",8.33,6.35808838595045,8.73113752589631,8.98573016010704,8.94206719919762,8.65408637853845
2023,"CHE","Switzerland","Europe & Central Asia","High Income",8.28,7.69126570091868,8.30834962904631,9.58396386355739,8.13863613322984,7.69132863732853
2023,"USA","United States","North America","High Income",8.1,7.24587343189336,7.58972299931103,9.01885169473066,8.11082660915894,8.51484818385307
2023,"IRL","Ireland","Europe & Central Asia","High Income",8.05,6.41931914199892,7.92705352409937,8.86778127891465,8.99531826609633,8.05783777310966
2023,"AUS","Australia","East Asia & Pacific","High Income",8.03,6.21227795980608,8.68468753724955,8.86810492756579,8.15249796508912,8.22193208582796
2023,"TWN","Taiwan","East Asia & Pacific","High Income",8.03,7.75575548170695,7.52532984072579,9.48974128486829,8.16064553969433,7.22675369649511
2023,"DNK","Denmark","Europe & Central Asia","High Income",8.02,5.40702785734203,8.88301258511406,9.04852668584117,8.9505728600239,7.82160157366487
2023,"NLD","Netherlands","Europe & Central Asia","High Income",7.97,5.25207609565916,8.93291221083977,9.23179463030269,9.16318006632462,7.24905883149354
2023,"CAN","Canada","North America","High Income",7.92,6.38743446335447,7.91397709792995,8.85030045420333,8.52706928989838,7.92790893882815
2023,"LUX","Luxembourg","Europe & Central Asia","High Income",7.92,5.05174042882011,8.58024014489043,9.3786725046959,8.98565721045059,7.61552827356552
2023,"GBR","United Kingdom","Europe & Central Asia","High Income",7.88,6.10122823617501,8.06201106917108,8.83449202359153,8.74397376611309,7.67557532939748
2023,"CRI","Costa Rica","Latin America & the Caribbean","High Income",7.85,7.45954316907976,6.75971632166228,9.52950577354035,8.50424203433375,6.98350891063189
2023,"FIN","Finland","Europe & Central Asia","High Income",7.84,4.91895881955477,8.86450995678005,9.14393592027697,8.68771128485618,7.60132750419803
2023,"DEU","Germany","Europe & Central Asia","High Income",7.84,5.80604845485378,8.24339672471422,9.01362369812898,8.74117580601578,7.40394506787695
2023,"JPN","Japan","East Asia & Pacific","High Income",7.83,5.83276317642629,7.77946333008382,9.38593247645051,8.55808169197323,7.59402873911376
2023,"MLT","Malta","Middle East & North Africa","High Income",7.82,6.50563955774241,7.17949913147507,9.05621304756157,9.03222708953568,7.31186390127258
2023,"EST","Estonia","Europe & Central Asia","High Income",7.76,6.29309563589133,7.67994129895315,8.05288668448968,8.96982913051643,7.8190175212944
2023,"CYP","Cyprus","Europe & Central Asia","High Income",7.75,6.76238488627383,6.92618720716043,9.25563025324732,8.91559963412361,6.86668659711202
2023,"MUS","Mauritius","Sub-Saharan Africa","Upper-Middle Income",7.73,7.39632923371519,6.66933169408859,8.60529560300319,8.75864408387717,7.23699224058271
2023,"ESP","Spain","Europe & Central Asia","High Income",7.73,6.07870877618699,7.41118666897326,9.24125214727002,8.68244357393617,7.25825861328308
2023,"ISL","Iceland","Europe & Central Asia","High Income",7.71,5.94775941607482,8.54403585396489,8.65182271082396,8.42610121705558,6.99767056698573
2023,"PRT","Portugal","Europe & Central Asia","High Income",7.71,6.02085436807323,7.81276553431365,9.06541658214812,8.93078320863969,6.7378674899335
2023,"GEO","Georgia","Europe & Central Asia","Upper-Middle Income",7.69,7.35273188042575,5.81960230710707,8.90207581240035,8.77446764082287,7.61963496728733
2023,"CHL","Chile","Latin America & the Caribbean","High Income",7.65,7.44532204518486,6.77215752882818,8.58409082368904,8.55705410579796,6.89805061291712
2023,"PAN","Panama","Latin America & the Caribbean","High Income",7.64,7.54806538434078,5.74276623257794,9.20821063041043,8.8676217524807,6.83336159820945
2023,"GTM","Guatemala","Latin America & the Caribbean","Upper-Middle Income",7.62,9.18426315849579,4.60832648282017,8.87413721336945,8.33776348154984,7.07196196746149
2023,"CZE","Czechia","Europe & Central Asia","High Income",7.61,6.03360764666951,7.67521572082531,8.36293534856367,8.87191423516012,7.08767020562103
2023,"LVA","Latvia","Europe & Central Asia","High Income",7.6,6.34275105847104,7.10668138957993,8.31672194122438,8.79027713478433,7.42924240747055
2023,"BEL","Belgium","Europe & Central Asia","High Income",7.58,4.57424149062022,7.9423598421523,9.27139876117638,8.8607900741485,7.25294759671674
2023,"SYC","Seychelles","Sub-Saharan Africa","High Income",7.58,7.40027612085339,5.98509383739739,9.42210697478324,8.29600059709289,6.79721805832269
2023,"AUT","Austria","Europe & Central Asia","High Income",7.57,5.28663757521613,8.50267380954877,8.44068608677412,8.69000084690491,6.92304751316809
2023,"LTU","Lithuania","Europe & Central Asia","High Income",7.57,6.91422663067467,7.09551750749856,7.915155661261,8.77385961440912,7.15519694219337
2023,"ALB","Albania","Europe & Central Asia","Upper-Middle Income",7.56,7.63737308348389,5.55222151696102,8.94848353939552,8.53616371965161,7.10851751955588
2023,"MYS","Malaysia","East Asia & Pacific","Upper-Middle Income",7.56,7.22469540592675,5.70607940926233,9.33479034495615,7.88714915035542,7.66461593116082
2023,"SWE","Sweden","Europe & Central Asia","High Income",7.56,4.61926268319621,8.41291237669957,8.69004217588223,8.72897096305644,7.35397810346499
2023,"KOR","Korea, Rep.","East Asia & Pacific","High Income",7.53,6.18125148445366,7.15360917551743,9.24134420013179,8.00000254032524,7.07048866347067
2023,"ARM","Armenia","Europe & Central Asia","Upper-Middle Income",7.46,8.02794813150473,5.69401418374891,9.06087184627746,8.13044141331391,6.38752442527796
2023,"ISR","Israel","Middle East & North Africa","High Income",7.46,5.92754533718288,6.32327389586004,9.02872362384998,8.80660043612008,7.20811684694632
2023,"JAM","Jamaica","Latin America & the Caribbean","Upper-Middle Income",7.46,8.11599576286484,5.80649947920569,8.3967702829399,7.28417633100128,7.71572669063664
2023,"JOR","Jordan","Middle East & North Africa","Lower-Middle Income",7.46,7.37706840665035,4.93466591019531,9.55462886899645,8.18250528562168,7.25031948450247
2023,"BHR","Bahrain","Middle East & North Africa","High Income",7.41,7.29264702780845,4.70299927905578,9.10135210874196,8.34585284655325,7.59391162948571
2023,"CPV","Cabo Verde","Sub-Saharan Africa","Upper-Middle Income",7.39,7.48060275763618,6.19246364435454,9.19863988079888,7.60507868743483,6.48615999574364
2023,"FRA","France","Europe & Central Asia","High Income",7.39,4.77012372165851,7.31371984675193,9.0089247886424,8.95876705246381,6.91405584834516
2023,"ITA","Italy","Europe & Central Asia","High Income",7.38,5.48547419040653,6.78164614867102,9.04356345120642,8.98903579942495,6.57854511247046
2023,"DOM","Dominican Republic","Latin America & the Caribbean","Upper-Middle Income",7.37,8.34352627548093,5.40302538211587,8.75236551590982,8.13606709949515,6.23869458655155
2023,"NOR","Norway","Europe & Central Asia","High Income",7.35,4.99010773118969,8.85960655506055,7.57805273283552,8.33448040912621,6.99734093940414
2023,"SVK","Slovak Republic","Europe & Central Asia","High Income",7.33,6.24626835309868,6.62394207191879,8.40093720922756,8.59872862963267,6.80423154946434
2023,"ROU","Romania","Europe & Central Asia","High Income",7.32,6.72190728720375,6.8536687708146,8.17699373882117,8.44146167253085,6.4295152379298
2023,"PER","Peru","Latin America & the Caribbean","Upper-Middle Income",7.3,7.63486873851295,5.11672054199145,8.53443176477463,8.48150021815731,6.73499234682235
2023,"ARE","United Arab Emirates","Middle East & North Africa","High Income",7.25,5.72992958380585,6.88709963033983,8.47851823936943,8.57249825085339,6.57276930770131
2023,"MNE","Montenegro","Europe & Central Asia","Upper-Middle Income",7.16,6.65351365546219,5.67364640498703,8.27581538406755,8.28907514685358,6.88392397244528
2023,"URY","Uruguay","Latin America & the Caribbean","High Income",7.16,6.44629511237059,6.32493746362372,8.54546726524056,7.98687864145637,6.50855432404157
2023,"GRC","Greece","Europe & Central Asia","High Income",7.15,4.8794009648403,6.46003453201094,9.02378903445553,8.50882858123235,6.8887384494908
2023,"BGR","Bulgaria","Europe & Central Asia","High Income",7.13,6.73650763419425,5.55869198121087,8.19154097994629,8.40998224681743,6.74092012673629
2023,"THA","Thailand","East Asia & Pacific","Upper-Middle Income",7.1,6.98053278880973,5.11975947991724,9.49516449967113,7.08083185268558,6.83030949424561
2023,"BRN","Brunei Darussalam","East Asia & Pacific","High Income",7.09,6.66666666666667,5.80351402245527,8.20702580180635,7.55599994304982,7.2039659633341
2023,"SLV","El Salvador","Latin America & the Caribbean","Upper-Middle Income",7.09,7.76951258401422,4.43181639013988,9.02600157986679,7.97185737818116,6.25428842706082
2023,"PRY","Paraguay","Latin America & the Caribbean","Upper-Middle Income",7.08,7.97430710798828,4.50506684186227,8.900655583152,7.41397543626334,6.58791184999236
2023,"HUN","Hungary","Europe & Central Asia","High Income",7.07,6.05258569274966,6.61721558927358,7.355689325488,8.71611860316225,6.60658656170492
2023,"PHL","Philippines","East Asia & Pacific","Lower-Middle Income",7.05,7.88315249533778,4.56766922402177,9.00643904396076,7.14800693822977,6.65432426995008
2023,"SVN","Slovenia","Europe & Central Asia","High Income",7,4.87787274915675,6.75732735617103,8.60807705992043,8.46638806149678,6.30589784514338
2023,"HND","Honduras","Latin America & the Caribbean","Lower-Middle Income",6.99,8.83798284926793,4.00498711078937,8.59829730262359,7.06364451402289,6.45210707674416
2023,"IDN","Indonesia","East Asia & Pacific","Upper-Middle Income",6.96,8.3958965840889,4.70785205521083,8.98523441882278,7.03597714867282,5.65004082790698
